key,0,1
#,PlayerLevel,CrafterLevel
int32,byte,byte
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,26
27,27,27
28,28,28
29,29,29
30,30,30
31,31,31
32,32,32
33,33,33
34,34,34
35,35,35
36,36,36
37,37,37
38,38,38
39,39,39
40,40,40
41,41,41
42,42,42
43,43,43
44,44,44
45,45,45
46,46,46
47,47,47
48,48,48
49,49,49
50,50,50
51,51,120
52,52,125
53,53,130
54,54,133
55,55,136
56,56,139
57,57,142
58,58,145
59,59,148
60,60,150
61,61,260
62,62,265
63,63,270
64,64,273
65,65,276
66,66,279
67,67,282
68,68,285
69,69,288
70,70,290
71,71,390
72,72,395
73,73,400
74,74,403
75,75,406
76,76,409
77,77,412
78,78,415
79,79,418
80,80,420
